make,model,price,fuel,transmission,trim,drivetrain,car_age
Mazda,CX-90 PHEV,53395.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Hyundai,IONIQ 5,61775.0,Electric,Automatic,Disney100 Platinum Edition,All-wheel Drive,1
RAM,ProMaster 2500,53272.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,1
Lincoln,Corsair,51361.0,Gasoline,8-Speed Automatic,Reserve,All-wheel Drive,1
GMC,Savana 2500,44595.0,Gasoline,Automatic,Work Van,Rear-wheel Drive,1
Chrysler,Pacifica Hybrid,60600.0,Hybrid,Automatic CVT,Select,Front-wheel Drive,1
Dodge,Hornet,38575.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Acura,ZDX,69850.0,Electric,Automatic,A-SPEC,All-wheel Drive,1
Nissan,Altima,31225.0,Gasoline,Automatic CVT,2.5 SV,Front-wheel Drive,1
Hyundai,Sonata Hybrid,32520.0,Hybrid,6-Speed Automatic,SEL,Front-wheel Drive,1
Dodge,Charger,35821.0,Gasoline,8-Speed Automatic,SXT,Rear-wheel Drive,2
Mazda,CX-90 PHEV,60200.0,Gasoline,Automatic,Base,All-wheel Drive,1
Dodge,Hornet,36532.0,Gasoline,4-Speed Automatic,GT AWD,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,61506.0,Gasoline,Automatic,Anniversary Edition,Four-wheel Drive,1
Mazda,CX-90 PHEV,59625.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Mercedes-Benz,EQS 450,109545.0,Electric,1-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Dodge,Hornet,35480.0,Gasoline,Automatic,Hornet Gt Awd,All-wheel Drive,1
Jeep,Compass,31200.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Jeep,Wrangler 4xe,54835.0,Gasoline,8-Speed Automatic,Sport S,Four-wheel Drive,1
Jeep,Grand Cherokee,52115.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Volkswagen,Taos,32011.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
RAM,ProMaster 3500,53099.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Volkswagen,Taos,30383.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Cadillac,XT5,46890.0,Gasoline,9-Speed Automatic,Luxury,Front-wheel Drive,1
Jeep,Grand Cherokee,37729.0,Gasoline,Automatic,Laredo,Four-wheel Drive,1
Jeep,Wrangler 4xe,53535.0,Hybrid,8-Speed Automatic,Sport,Four-wheel Drive,1
Dodge,Charger,37490.0,Gasoline,8-Speed Automatic,SXT,Rear-wheel Drive,2
Dodge,Hornet,44600.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Dodge,Durango,45038.0,Gasoline,8-Speed Automatic,GT,All-wheel Drive,1
Acura,MDX,56155.0,Gasoline,1-Speed Automatic,Technology,All-wheel Drive,1
Jeep,Wrangler,60972.0,Gasoline,Automatic,Rubicon,Four-wheel Drive,1
Jeep,Gladiator,53796.0,Gasoline,8-Speed Automatic,Rubicon,Four-wheel Drive,2
Dodge,Hornet,41497.0,Gasoline,6-Speed Automatic,R/T EAWD,All-wheel Drive,1
Volkswagen,Taos,25311.0,Gasoline,4-Speed Automatic,1.5T S,All-wheel Drive,1
Dodge,Charger,35913.0,Gasoline,8-Speed Automatic,SXT,Rear-wheel Drive,2
INFINITI,QX50,48350.0,Gasoline,Variable,LUXE,Front-wheel Drive,1
Nissan,Versa,21000.0,Gasoline,Automatic CVT,1.6 SV,Front-wheel Drive,1
GMC,Savana 2500,44620.0,Gasoline,Automatic,Work Van,Rear-wheel Drive,1
Mercedes-Benz,AMG GLE 53,90995.0,Gasoline,9-Speed Automatic,Base,All-wheel Drive,1
Mazda,CX-90 PHEV,56079.0,Hybrid,8-Speed Automatic,Premium,All-wheel Drive,1
Ford,F-350,52263.0,Gasoline,1-Speed Automatic,XL,Four-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Dodge,Hornet,42991.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,54910.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,1
Audi,A5 Sportback,56105.0,Gasoline,7-Speed Automatic,S line Premium Plus,All-wheel Drive,1
Lincoln,Nautilus,64370.0,Gasoline,8-Speed Automatic,Reserve,All-wheel Drive,1
Dodge,Durango,44790.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Chevrolet,Trailblazer,32580.0,Gasoline,9-Speed Automatic,RS,All-wheel Drive,1
BMW,i4 Gran Coupe,69685.0,Electric,1-Speed Automatic,eDrive40,Rear-wheel Drive,1
Hyundai,Santa Cruz,34330.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Dodge,Hornet,37430.0,Gasoline,9-Speed Automatic,GT AWD,All-wheel Drive,1
Hyundai,Santa Cruz,42015.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Hyundai,Santa Cruz,32925.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Jeep,Wrangler 4xe,57870.0,Hybrid,8-Speed Automatic,Sahara,Four-wheel Drive,1
Jeep,Compass,28265.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Volkswagen,Taos,30618.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Ford,Escape,31985.0,Gasoline,8-Speed Automatic,Active,Front-wheel Drive,1
Ford,Bronco Sport,35210.0,Gasoline,8-Speed Automatic,Outer Banks,Four-wheel Drive,1
Hyundai,Santa Fe,42455.0,Gasoline,Automatic,XRT,All-wheel Drive,1
Hyundai,IONIQ 6,51820.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,2
Hyundai,IONIQ 5,49795.0,Electric,1-Speed Automatic,SEL,Rear-wheel Drive,1
Jeep,Compass,31721.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Dodge,Durango,44852.0,Gasoline,8-Speed Automatic,GT,All-wheel Drive,1
Dodge,Hornet,32485.0,Gasoline,9-Speed Automatic,GT AWD,All-wheel Drive,1
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Grand Cherokee L,39370.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Dodge,Hornet,45844.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Jeep,Wagoneer L,78543.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Hyundai,Elantra HEV,27080.0,Hybrid,Automatic,Blue,Front-wheel Drive,1
RAM,3500,83940.0,Diesel,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Volkswagen,Atlas Cross Sport,48541.0,Gasoline,8-Speed Automatic,2.0T SEL R-Line,All-wheel Drive,1
RAM,3500,81036.0,Diesel,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
RAM,3500,67562.0,Diesel,Automatic,Tradesman/SLT/Laramie/Limited,Four-wheel Drive,1
Mazda,CX-90 PHEV,58399.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Lexus,RX 500h,73270.0,Hybrid,6-Speed Automatic,F SPORT PERFORMANCE,All-wheel Drive,1
RAM,3500,89040.0,Diesel,6-Speed Automatic,Laramie Mega Cab 4x4 6&#39;4&#39; Box,Four-wheel Drive,1
