make,model,price,fuel,transmission,trim,drivetrain,car_age
Mercedes-Benz,Sprinter 2500,58665.0,Gasoline,Automatic,High Roof,Rear-wheel Drive,2
Dodge,Durango,46835.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Grand Wagoneer,124250.0,Gasoline,8-Speed Automatic,Series III,Four-wheel Drive,1
Mercedes-Benz,Sprinter 2500,65129.0,Diesel,Automatic,High Roof,Rear-wheel Drive,1
Ford,Mustang Mach-E,49785.0,Electric,1-Speed Automatic,Select,All-wheel Drive,1
Honda,CR-V Hybrid,42150.0,Gasoline,1-Speed Automatic,Sport Touring,All-wheel Drive,0
Cadillac,XT5,47225.0,Gasoline,9-Speed Automatic,Luxury,All-wheel Drive,1
Hyundai,Santa Cruz,31610.0,Gasoline,8-Speed Automatic,2.5L SEL,All-wheel Drive,1
Toyota,Tundra Hybrid,72977.0,Hybrid,1-Speed Automatic,1794 Edition,Four-wheel Drive,1
Dodge,Hornet,36734.0,Gasoline,4-Speed Automatic,GT AWD,All-wheel Drive,1
RAM,3500,61330.0,Diesel,6-Speed Automatic,Tradesman,Four-wheel Drive,1
Hyundai,Kona,32009.0,Gasoline,Automatic CVT,SEL,All-wheel Drive,1
Chevrolet,Silverado 1500,49229.0,Gasoline,Automatic,LT,Four-wheel Drive,1
INFINITI,QX55,54200.0,Gasoline,Automatic CVT,SENSORY,All-wheel Drive,2
Jeep,Compass,25999.0,Gasoline,Automatic,Sport,Four-wheel Drive,2
Mazda,CX-90 PHEV,56995.0,Gasoline,Automatic,Base,All-wheel Drive,1
Chevrolet,Equinox,34472.0,Gasoline,6-Speed Automatic,1LT,All-wheel Drive,1
Nissan,Kicks,25410.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Dodge,Hornet,49885.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Toyota,Corolla,22623.0,Gasoline,Automatic CVT,LE,Front-wheel Drive,1
Hyundai,IONIQ 5,45830.0,Electric,Automatic,SEL,All-wheel Drive,1
Volkswagen,Jetta,29895.0,Gasoline,8-Speed Automatic,1.4T SEL,Front-wheel Drive,1
Hyundai,IONIQ 5,44713.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
RAM,ProMaster 3500,68095.0,Gasoline,9-Speed Automatic,Base,Front-wheel Drive,1
Volkswagen,Jetta,24348.0,Gasoline,8-Speed Automatic,1.4T S,Front-wheel Drive,1
RAM,3500,65260.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
GMC,Terrain,40980.0,Gasoline,9-Speed Automatic,Denali,All-wheel Drive,1
Hyundai,Tucson Hybrid,37275.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
RAM,3500,72294.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Mazda,CX-90 PHEV,51625.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Hyundai,Kona,30829.0,Gasoline,8-Speed Automatic,Limited,Front-wheel Drive,1
Dodge,Hornet,44826.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Dodge,Hornet,38122.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Jeep,Grand Cherokee L,47451.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Jeep,Wrangler 4xe,58840.0,Hybrid,8-Speed Automatic,Sahara,Four-wheel Drive,1
Dodge,Hornet,32837.0,Gasoline,Automatic,GT AWD,All-wheel Drive,1
Ford,Bronco Sport,31390.0,Gasoline,Automatic,Big Bend,Four-wheel Drive,1
Chrysler,Pacifica,54403.0,Gasoline,9-Speed Automatic,Touring-L,All-wheel Drive,1
Toyota,Tundra Hybrid,71146.0,Hybrid,1-Speed Automatic,Platinum,Rear-wheel Drive,1
Jeep,Wagoneer,84935.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Ford,F-150,52495.0,Gasoline,1-Speed Automatic,XLT,Four-wheel Drive,2
RAM,2500,61481.0,Diesel,6-Speed Automatic,Tradesman 4x4 Crew Cab 8 Box,Four-wheel Drive,1
Mazda,CX-90 PHEV,51700.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Chevrolet,Silverado 1500,42947.0,Gasoline,8-Speed Automatic,Custom,Rear-wheel Drive,1
Dodge,Hornet,34329.0,Gasoline,Automatic,GT AWD,All-wheel Drive,1
RAM,3500,62154.0,Gasoline,8-Speed Automatic,Tradesman,Four-wheel Drive,1
Audi,A3,39375.0,Gasoline,7-Speed Automatic,Premium,Front-wheel Drive,1
Jeep,Wrangler 4xe,65295.0,Hybrid,8-Speed Automatic,Rubicon,Four-wheel Drive,1
Jeep,Wrangler 4xe,64930.0,Hybrid,8-Speed Automatic,Rubicon,Four-wheel Drive,1
Ford,Mustang Mach-E,46540.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,2
Mazda,CX-90 PHEV,54949.0,PHEV Hybrid Fuel,Automatic,Premium,All-wheel Drive,1
Dodge,Hornet,47142.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Hyundai,Santa Cruz,41955.0,Gasoline,8-Speed Automatic,2.5T XRT,All-wheel Drive,1
Ford,Escape,36860.0,Gasoline,8-Speed Automatic,Active,All-wheel Drive,1
RAM,3500,76300.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
RAM,ProMaster 3500,68095.0,Gasoline,9-Speed Automatic,Base,Front-wheel Drive,1
Ford,F-150,45605.0,Gasoline,Automatic,STX,Four-wheel Drive,1
Nissan,Kicks,24305.0,Gasoline,CVT,S,Front-wheel Drive,1
Ford,Explorer,46870.0,Gasoline,1-Speed Automatic,XLT,Rear-wheel Drive,1
Hyundai,Kona,33840.0,Gasoline,8-Speed Automatic,Limited,All-wheel Drive,1
Chevrolet,Silverado 1500,50058.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Honda,CR-V Hybrid,37505.0,Hybrid,Automatic CVT,Sport-L,Front-wheel Drive,1
Hyundai,Sonata Hybrid,33005.0,Hybrid,6-Speed Automatic,SEL,Front-wheel Drive,1
Acura,MDX,53700.0,Gasoline,1-Speed Automatic,Base,All-wheel Drive,1
Mercedes-Benz,Sprinter 3500,62295.0,Diesel,Automatic,High Roof,Rear-wheel Drive,1
GMC,Sierra 2500,90220.0,Diesel,1-Speed Automatic,Denali,Four-wheel Drive,1
Jeep,Compass,33696.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Grand Cherokee L,54641.0,Gasoline,8-Speed Automatic,Limited,Rear-wheel Drive,1
Cadillac,LYRIQ,60115.0,Electric,1-Speed Automatic,Luxury,Rear-wheel Drive,1
Hyundai,Tucson,32750.0,Gasoline,8-Speed Automatic,SEL,Front-wheel Drive,1
Mazda,CX-90 PHEV,50595.0,Hybrid,8-Speed Automatic,Preferred,All-wheel Drive,1
Ford,Explorer,53915.0,Gasoline,1-Speed Automatic,Platinum,Rear-wheel Drive,0
Jeep,Wagoneer,77473.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
INFINITI,QX50,49404.0,Gasoline,(CVT) CONT VAR.,SPORT,Front-wheel Drive,1
Hyundai,Elantra HEV,30870.0,Hybrid,Automatic,Limited,Front-wheel Drive,1
Buick,Enclave,56872.0,Gasoline,9-Speed Automatic,Premium,All-wheel Drive,1
Jeep,Compass,34730.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Chrysler,Pacifica,55183.0,Gasoline,9-Speed Automatic,Limited,All-wheel Drive,1
Hyundai,Tucson,32625.0,Gasoline,8-Speed Automatic,SEL,Front-wheel Drive,1
Nissan,Versa,20849.0,Gasoline,Automatic CVT,S,Front-wheel Drive,1
Audi,A5 Sportback,52405.0,Gasoline,7-Speed Automatic,S line Premium,All-wheel Drive,1
RAM,3500,67159.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Ford,Edge,40260.0,Gasoline,8-Speed Automatic,SE,All-wheel Drive,1
Mercedes-Benz,GLS 450,95230.0,Gasoline,9-Speed Automatic,4MATIC,All-wheel Drive,1
Hyundai,Tucson Hybrid,35835.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Hyundai,Tucson Hybrid,35775.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
RAM,3500,72600.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Chevrolet,Silverado 1500,47410.0,Gasoline,1-Speed Automatic,WT,Four-wheel Drive,1
Kia,Niro,30935.0,Hybrid,6-Speed Automatic,EX,Front-wheel Drive,1
Jeep,Compass,27087.0,Gasoline,8-Speed Automatic,Sport,Four-wheel Drive,1
RAM,3500,78895.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Ford,Edge,44710.0,Gasoline,8-Speed Automatic,Titanium,All-wheel Drive,1
Nissan,Sentra,21637.0,Gasoline,Automatic,SV,Front-wheel Drive,1
Kia,Seltos,28535.0,Gasoline,Automatic CVT,S,All-wheel Drive,1
Jeep,Grand Cherokee L,50923.0,Gasoline,Automatic,Limited,Four-wheel Drive,1
Nissan,Versa,21889.0,Gasoline,Automatic CVT,1.6 SR,Front-wheel Drive,1
Hyundai,Kona,29182.0,Gasoline,Automatic CVT,SEL,Front-wheel Drive,1
Nissan,Kicks,21123.0,Gasoline,CVT with Xtronic,SR,Front-wheel Drive,1
RAM,3500,63518.0,Diesel,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
RAM,3500,79934.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Grand Cherokee L,46243.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Dodge,Hornet,42876.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
GMC,Sierra 3500,102287.0,Diesel,1-Speed Automatic,Denali,Four-wheel Drive,1
Jeep,Grand Cherokee L,55020.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Grand Cherokee,40344.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Hyundai,Kona,33491.0,Gasoline,8-Speed Automatic,N Line,All-wheel Drive,1
Hyundai,Tucson Hybrid,40754.0,Hybrid,Automatic,Limited,All-wheel Drive,1
RAM,3500,83640.0,Diesel,Automatic,Laramie Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Hyundai,IONIQ 5,46246.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
Toyota,RAV4 Prime,50209.0,Hybrid,Automatic CVT,XSE,All-wheel Drive,1
RAM,2500,69720.0,Gasoline,8-Speed Automatic,Big Horn,Four-wheel Drive,1
Chevrolet,Silverado 1500,88478.0,Gasoline,Automatic,RST,Four-wheel Drive,1
Hyundai,Kona,35389.0,Gasoline,8-Speed Automatic,Limited,All-wheel Drive,1
Hyundai,Tucson Hybrid,36600.0,Hybrid,Automatic,N Line,All-wheel Drive,1
Jeep,Grand Wagoneer,110150.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,2
Jeep,Grand Cherokee L,67105.0,Gasoline,Automatic,Overland,Four-wheel Drive,1
Hyundai,Tucson Hybrid,36600.0,Hybrid,Automatic,N Line,All-wheel Drive,1
BMW,i4 Gran Coupe,72435.0,Electric,1-Speed Automatic,xDrive40,All-wheel Drive,1
Mazda,CX-90 PHEV,50955.0,PHEV Hybrid Fuel,Automatic,Preferred,All-wheel Drive,1
Hyundai,Santa Cruz,40434.0,Gasoline,8-Speed Automatic,2.5T NIGHT,All-wheel Drive,1
Kia,Sportage,30740.0,Gasoline,8-Speed Automatic,EX,Front-wheel Drive,1
Mercedes-Benz,Sprinter 2500,66902.0,Diesel,Automatic,Crew 144 WB,Rear-wheel Drive,1
Hyundai,IONIQ 5,59255.0,Electric,1-Speed Automatic,Limited,All-wheel Drive,1
Cadillac,LYRIQ,75090.0,Electric,Automatic,Sport w/1SJ,Rear-wheel Drive,1
Chevrolet,Silverado 1500,54190.0,Gasoline,1-Speed Automatic,Custom Trail Boss,Four-wheel Drive,1
GMC,Sierra 2500,47763.0,Gasoline,1-Speed Automatic,Pro,Rear-wheel Drive,1
RAM,3500,68600.0,Diesel,6-Speed Automatic,Tradesman,Four-wheel Drive,1
Hyundai,IONIQ 6,53820.0,Electric,Automatic,SE,All-wheel Drive,2
Mercedes-Benz,GLE 450,74290.0,Gasoline,9-Speed Automatic,4MATIC,All-wheel Drive,1
Jeep,Compass,33668.0,Gasoline,8-Speed Automatic,Latitude Lux,Four-wheel Drive,1
Dodge,Durango,47785.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Jeep,Wagoneer,89595.0,Gasoline,8-Speed Automatic,Series III,Four-wheel Drive,1
Ford,Mustang Mach-E,55485.0,Electric,1-Speed Automatic,Premium,All-wheel Drive,1
Dodge,Hornet,43524.0,Gasoline,1-Speed Automatic,Hornet R/T Eawd,All-wheel Drive,1
Ford,Escape,33071.0,Gasoline,8-Speed Automatic,Active,All-wheel Drive,1
Hyundai,Santa Cruz,30490.0,Gasoline,8-Speed Automatic,2.5L SE,All-wheel Drive,1
RAM,ProMaster 3500,61006.0,Gasoline,9-Speed Automatic,High Roof,Front-wheel Drive,2
Hyundai,Santa Cruz,43684.0,Gasoline,8-Speed Automatic,2.5T Limited,All-wheel Drive,1
Chrysler,Voyager,38954.0,Gasoline,9-Speed Automatic,LX,Front-wheel Drive,1
GMC,Sierra 1500,59466.0,Gasoline,1-Speed Automatic,SLT,Four-wheel Drive,1
Ford,Transit Connect,38036.0,Gasoline,8-Speed Automatic,XLT,Front-wheel Drive,2
Toyota,Tundra Hybrid,60573.0,Hybrid,1-Speed Automatic,Limited,Four-wheel Drive,1
RAM,2500,59620.0,Gasoline,Automatic,Tradesman,Four-wheel Drive,1
Jeep,Compass,28860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Hyundai,IONIQ 5,42295.0,Electric,Automatic,SEL,Rear-wheel Drive,1
Jeep,Compass,41230.0,Gasoline,Automatic,Trailhawk,Four-wheel Drive,1
Jeep,Gladiator,54210.0,Gasoline,8-Speed Automatic,Rubicon,Four-wheel Drive,2
Hyundai,IONIQ 5,44565.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
Hyundai,Kona,29111.0,Gasoline,Automatic CVT,SEL,Front-wheel Drive,1
GMC,Sierra 2500,96860.0,Diesel,1-Speed Automatic,Denali Ultimate,Four-wheel Drive,1
Kia,Sportage,34635.0,Gasoline,8-Speed Automatic,SX,Front-wheel Drive,1
Ford,Maverick,41045.0,Gasoline,8-Speed Automatic,Lariat,All-wheel Drive,1
Jeep,Wagoneer,79487.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Volkswagen,Jetta,23160.0,Gasoline,8-Speed Automatic,1.4T S,Front-wheel Drive,1
Jeep,Wagoneer L,74366.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Hyundai,Tucson Hybrid,40979.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Ford,Edge,39025.0,Gasoline,Automatic,SE,All-wheel Drive,1
Hyundai,IONIQ 5,45269.0,Electric,1-Speed Automatic,SEL,All-wheel Drive,1
Jeep,Wagoneer L,81160.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Nissan,Versa,21195.0,Gasoline,CVT,1.6 SV,Front-wheel Drive,1
Jeep,Grand Cherokee 4xe,63440.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Hyundai,Kona,33969.0,Gasoline,8-Speed Automatic,Limited,Front-wheel Drive,1
Ford,Edge,38598.0,Gasoline,Automatic,SEL,All-wheel Drive,1
GMC,Sierra 1500,84405.0,Gasoline,1-Speed Automatic,Denali Ultimate,Four-wheel Drive,1
Jeep,Grand Cherokee,52810.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Chevrolet,Silverado 1500,63145.0,Diesel,1-Speed Automatic,LT Trail Boss,Four-wheel Drive,1
GMC,Terrain,34940.0,Gasoline,9-Speed Automatic,AT4,All-wheel Drive,1
Dodge,Hornet,37498.0,Gasoline,Automatic,GT AWD,All-wheel Drive,1
RAM,3500,58950.0,Diesel,6-Speed Automatic,Tradesman,Four-wheel Drive,1
Volkswagen,Taos,32751.0,Gasoline,7-Speed Automatic,1.5T SE,All-wheel Drive,1
Dodge,Charger,41890.0,Gasoline,8-Speed Automatic,SXT,All-wheel Drive,2
Jeep,Compass,38000.0,Gasoline,Automatic,Trailhawk,Four-wheel Drive,1
Ford,Transit-350,57000.0,Gasoline,1-Speed Automatic,Base,Rear-wheel Drive,2
Jeep,Grand Cherokee L,48201.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Audi,Q5 e,73360.0,Gasoline,7-Speed Automatic,55 Premium Plus,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
RAM,3500,64111.0,Diesel,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Kia,Sorento,33590.0,Gasoline,8-Speed Automatic,LX,Front-wheel Drive,1
INFINITI,QX50,46855.0,Gasoline,Variable,LUXE,Front-wheel Drive,1
Jeep,Grand Cherokee L,58779.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Subaru,Outback,32490.0,Gasoline,Automatic CVT,Premium,All-wheel Drive,1
Ford,Edge,45995.0,Gasoline,8-Speed Automatic,Titanium,All-wheel Drive,1
Jeep,Wagoneer,73999.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Nissan,Pathfinder,42155.0,Gasoline,Automatic,SL 4WD,Four-wheel Drive,1
Jeep,Grand Cherokee,47030.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Jeep,Grand Cherokee,42425.0,Gasoline,8-Speed Automatic,Laredo,Four-wheel Drive,1
Dodge,Hornet,42436.0,Gasoline,9-Speed Automatic,GT Plus,All-wheel Drive,1
Jeep,Grand Cherokee L,56015.0,Gasoline,Automatic,Limited,Four-wheel Drive,1
Acura,MDX,52350.0,Gasoline,1-Speed Automatic,Base,All-wheel Drive,1
Kia,EV6,41991.0,Electric,Automatic,Wind,All-wheel Drive,1
Honda,HR-V,25950.0,Gasoline,Automatic,LX,Front-wheel Drive,1
Honda,Passport,46350.0,Gasoline,9-Speed Automatic,TrailSport,All-wheel Drive,1
Honda,HR-V,27450.0,Gasoline,Automatic,LX,All-wheel Drive,1
Kia,Sportage,33375.0,Gasoline,8-Speed Automatic,EX,All-wheel Drive,1
Kia,Sportage,39935.0,Gasoline,8-Speed Automatic,X-Pro Prestige,All-wheel Drive,1
Kia,Sportage,35435.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,56119.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Dodge,Hornet,36810.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Dodge,Hornet,35585.0,Gasoline,Automatic,GT AWD,All-wheel Drive,1
Hyundai,Santa Cruz,40375.0,Gasoline,8-Speed Automatic,2.5T NIGHT,All-wheel Drive,1
Jeep,Compass,35835.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Hyundai,Tucson Hybrid,41720.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Hyundai,Tucson Hybrid,41720.0,Hybrid,6-Speed Automatic,Limited,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,62255.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Audi,A5 Sportback,57835.0,Gasoline,7-Speed Automatic,S line Premium Plus,All-wheel Drive,1
Jeep,Grand Wagoneer,108537.0,Gasoline,8-Speed Automatic,Series III,Four-wheel Drive,1
RAM,3500,63609.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Ford,Transit-250,64025.0,Gasoline,Automatic,Base,All-wheel Drive,1
RAM,3500,86420.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
RAM,2500,77525.0,Gasoline,8-Speed Automatic,Big Horn,Four-wheel Drive,1
Dodge,Hornet,36195.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Kia,Sportage,35040.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Jeep,Wagoneer,64434.0,Gasoline,Automatic,Base,Four-wheel Drive,1
RAM,3500,67422.0,Diesel,6-Speed Automatic,Big Horn,Four-wheel Drive,1
Cadillac,LYRIQ,60310.0,Electric,1-Speed Automatic,Luxury,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,61179.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,67650.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,2
Mercedes-Benz,Sprinter 2500,61276.0,Diesel,9-Speed Automatic,144 WB Standard Roof Crew,Rear-wheel Drive,1
BMW,X7,94895.0,Gasoline,8-Speed Automatic,xDrive40i,All-wheel Drive,1
Kia,Seltos,31490.0,Gasoline,8-Speed Automatic,SX,All-wheel Drive,1
Ford,Expedition,70115.0,Gasoline,1-Speed Automatic,XLT,Four-wheel Drive,1
Jeep,Wagoneer L,77522.0,Gasoline,8-Speed Automatic,Series II,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,78655.0,Hybrid,8-Speed Automatic,Overland,Four-wheel Drive,1
Nissan,Kicks,24105.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Buick,Envista,28000.0,Gasoline,6-Speed Automatic,Sport Touring,Front-wheel Drive,1
Kia,Sportage,33390.0,Gasoline,8-Speed Automatic,SX,Front-wheel Drive,1
Jeep,Grand Cherokee 4xe,60884.0,Hybrid,8-Speed Automatic,Trailhawk,Four-wheel Drive,1
Dodge,Hornet,40880.0,Gasoline,Automatic,GT AWD,All-wheel Drive,1
Dodge,Hornet,39555.0,Gasoline,9-Speed Automatic,GT,All-wheel Drive,1
Ford,Bronco Sport,35077.0,Gasoline,Automatic,Free Wheeling,Four-wheel Drive,1
Cadillac,XT5,47290.0,Gasoline,Automatic,Luxury,All-wheel Drive,1
Jeep,Grand Cherokee,44759.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Chevrolet,Trax,26190.0,Gasoline,Automatic,ACTIV,Front-wheel Drive,0
Mercedes-Benz,GLA 250,53710.0,Gasoline,8-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Ford,Expedition,86490.0,Gasoline,1-Speed Automatic,King Ranch,Four-wheel Drive,1
RAM,3500,84701.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
BMW,X7,88695.0,Gasoline,8-Speed Automatic,xDrive40i,All-wheel Drive,1
Kia,Sportage,33573.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Mercedes-Benz,Sprinter 2500,69017.0,Diesel,9-Speed Automatic,144 WB Standard Roof Passenger,Rear-wheel Drive,1
RAM,3500,60925.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Cadillac,LYRIQ,73110.0,Electric,1-Speed Automatic,Luxury,All-wheel Drive,1
Kia,Telluride,51965.0,Gasoline,Automatic,SX X-Pro,All-wheel Drive,1
Jeep,Wagoneer L,74366.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
RAM,3500,63670.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Ford,Bronco Sport,35010.0,Gasoline,8-Speed Automatic,Big Bend,Four-wheel Drive,1
Mazda,CX-90,49900.0,Gasoline,8-Speed Automatic,3.3 Turbo Premium Plus,All-wheel Drive,1
Mercedes-Benz,GLE 450,75925.0,Gasoline,9-Speed Automatic,4MATIC,All-wheel Drive,1
RAM,3500,93303.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Mazda,CX-90 PHEV,58049.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Jeep,Grand Cherokee L,49260.0,Gasoline,Automatic,Altitude,Four-wheel Drive,1
Ford,Transit-150,52640.0,E85 Flex Fuel,1-Speed Automatic,Base,Rear-wheel Drive,1
Kia,Sportage,38040.0,Gasoline,8-Speed Automatic,SX-Prestige,All-wheel Drive,1
Hyundai,Kona,32491.0,Gasoline,8-Speed Automatic,Limited,Front-wheel Drive,1
Mercedes-Benz,GLA 250,51725.0,Gasoline,8-Speed Automatic,Base 4MATIC,All-wheel Drive,1
Chevrolet,Silverado 1500,58720.0,Diesel,Automatic,LT,Four-wheel Drive,1
Genesis,Electrified GV70,60490.0,Electric,1-Speed Automatic,Advanced,All-wheel Drive,1
BMW,i7,195895.0,Electric,1-Speed Automatic,M70,All-wheel Drive,1
Hyundai,Tucson Hybrid,37215.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Kia,Sportage,32995.0,Gasoline,8-Speed Automatic,SX,Front-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Mazda,CX-90,54800.0,Gasoline,8-Speed Automatic,3.3 Turbo S Premium,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,49285.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Dodge,Hornet,49895.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Jeep,Compass,28860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Jeep,Grand Cherokee 4xe,63440.0,Hybrid,8-Speed Automatic,Base,Four-wheel Drive,1
Honda,CR-V,38305.0,Gasoline,Automatic CVT,EX-L,All-wheel Drive,0
Dodge,Durango,57486.0,Gasoline,8-Speed Automatic,R/T,All-wheel Drive,1
Dodge,Hornet,40085.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Volvo,S60 Recharge Plug-In Hybrid,57545.0,Hybrid,8-Speed Automatic,T8 Plus Dark Theme,All-wheel Drive,1
Ford,Transit-350,74391.0,Gasoline,Automatic,Base,All-wheel Drive,1
Kia,Sorento,44876.0,Gasoline,Automatic,EX,All-wheel Drive,2
RAM,3500,64965.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Ford,Escape,38481.0,Hybrid,Automatic,Platinum,All-wheel Drive,1
RAM,3500,77085.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
Mazda,CX-90 PHEV,58825.0,Gasoline,8-Speed Automatic,Base,All-wheel Drive,1
Nissan,Kicks,26335.0,Gasoline,Automatic CVT,SR,Front-wheel Drive,1
Dodge,Hornet,49720.0,Gasoline,1-Speed Automatic,Hornet R/T Plus Eawd,All-wheel Drive,1
Chevrolet,Silverado 1500,50565.0,Gasoline,8-Speed Automatic,Custom,Four-wheel Drive,1
Chevrolet,Equinox,38717.0,Gasoline,6-Speed Automatic,RS,All-wheel Drive,1
Cadillac,XT6,50415.0,Gasoline,9-Speed Automatic,Luxury FWD,Front-wheel Drive,1
Ford,Transit-250,50486.0,E85 Flex Fuel,1-Speed Automatic,148 WB Medium Roof Cargo,Rear-wheel Drive,1
Volkswagen,Taos,32406.0,Gasoline,8-Speed Automatic,1.5T SE,Front-wheel Drive,1
Kia,Sportage,40250.0,Gasoline,8-Speed Automatic,X-Pro Prestige,All-wheel Drive,1
Dodge,Durango,47340.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Subaru,Impreza,29068.0,Gasoline,Automatic CVT,Sport,All-wheel Drive,1
Mazda,CX-70,54620.0,Gasoline,8-Speed Automatic,3.3 Turbo S Premium,All-wheel Drive,0
Chrysler,Voyager,38954.0,Gasoline,9-Speed Automatic,LX,Front-wheel Drive,1
Jeep,Grand Cherokee,49842.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
